Domain:5,Kingdom:13,Phylum:229,Class:463,Order:974,Family:1975,Genus:4980,Species:17585,Total_reads,Percent,Prevalence,Gene_Count
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_catus,930,0.00%,1,53
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_comes,2090,0.00%,1,90
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_eutactus,11936,0.01%,1,144
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_eutactus_CAG:665,64,2.96E-07,0.352941176,5
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_phoceensis,6,2.77E-08,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp.,874,0.00%,1,54
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._43_8,22,1.02E-07,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AF16-22,48,2.22E-07,0.529411765,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AF18-48,128,5.91E-07,0.411764706,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AF19-8AC,160,7.39E-07,0.823529412,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AF21-14LB,126,5.82E-07,0.823529412,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AF38-1,318,0.00%,0.647058824,12
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AM25-15LB,24,1.11E-07,0.235294118,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._AM27-12LB,6,2.77E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._ART55/1,16,7.39E-08,0.235294118,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._B2-R-112,58,2.68E-07,0.470588235,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._BIOML-A1,14,6.47E-08,0.058823529,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._BIOML-A2,20,9.24E-08,0.176470588,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._CAG:131,96,4.43E-07,0.823529412,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._CAG:131-related_45_246,18,8.31E-08,0.235294118,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._CAG:131_42_139,6,2.77E-08,0.117647059,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._CAG:782,98,4.53E-07,0.823529412,7
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._CLA-AA-H212,118,5.45E-07,0.470588235,7
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._DFI.6.81,50,2.31E-07,0.647058824,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._HPP0048,18,8.31E-08,0.176470588,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._HPP0074,36,1.66E-07,0.235294118,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._MSK.21.13,190,8.78E-07,0.647058824,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._NSJ-10,148,6.84E-07,0.882352941,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._OM04-5BH,134,6.19E-07,0.764705882,8
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._OM06-25,58,2.68E-07,0.411764706,6
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._OM06-34AC,218,0.00%,0.882352941,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_sp._TF11-13,8,3.70E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__unclassified_g__Coprococcus,434,0.00%,1,31
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__uncultured_Coprococcus_sp.,752,0.00%,1,10
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Cuneatibacter,s__Cuneatibacter_caecimuris,452,0.00%,1,23
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Cuneatibacter,s__Cuneatibacter_sp.,56,2.59E-07,0.470588235,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Cuneatibacter,s__Cuneatibacter_sp._NSJ-177,242,0.00%,1,16
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Diplocloster,s__Diplocloster_agilis,250,0.00%,0.882352941,13
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Diplocloster,s__Diplocloster_modestus,152,7.02E-07,0.941176471,11
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_faecigallinarum,344,0.00%,0.588235294,5
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_faecipullorum,26,1.20E-07,0.235294118,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_gallistercoris,58,2.68E-07,0.647058824,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_intestinavium,96,4.43E-07,0.647058824,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_intestinigallinarum,110,5.08E-07,0.823529412,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_merdavium,70,3.23E-07,0.588235294,5
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Candidatus_Dorea_stercoravium,6,2.77E-08,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_formicigenerans,1922,0.00%,1,83
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_formicigenerans_CAG:28,10,4.62E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_longicatena,21634,0.01%,1,245
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_longicatena_CAG:42,10,4.62E-08,0.235294118,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_phocaeensis,536,0.00%,0.882352941,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp.,6956,0.00%,1,319
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._210702-DFI.3.125,20,9.24E-08,0.411764706,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._210702-DFI.3.17,86,3.97E-07,0.764705882,8
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._42_8,420,0.00%,1,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._5-2,1112,0.00%,1,35
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._AF24-7LB,38,1.76E-07,0.411764706,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._AF36-15AT,110,5.08E-07,0.705882353,6
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._AGR2135,54,2.49E-07,0.470588235,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._AM10-31,40,1.85E-07,0.352941176,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._AM13-35,16,7.39E-08,0.176470588,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._AM58-8,36,1.66E-07,0.294117647,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._BIOML-A1,16,7.39E-08,0.235294118,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._CAG:105,28,1.29E-07,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._CAG:317,1716,0.00%,0.235294118,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._D27,198,9.15E-07,0.941176471,7
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._MB18-49,12,5.54E-08,0.176470588,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._Marseille-P4042,4,1.85E-08,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._NSJ-36,10,4.62E-08,0.176470588,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._OM02-2LB,86,3.97E-07,0.647058824,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_sp._OM07-5,2,9.24E-09,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__unclassified_g__Dorea,346,0.00%,1,10
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__uncultured_Dorea_sp.,14,6.47E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_intestinigallinarum,228,0.00%,0.882352941,11
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_intestinipullorum,146,6.74E-07,0.882352941,8
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_merdavium,194,8.96E-07,1,11
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_merdigallinarum,132,6.10E-07,0.823529412,10
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_merdipullorum,100,4.62E-07,0.647058824,6
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_pullicola,64,2.96E-07,0.529411765,6
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_pullistercoris,40,1.85E-07,0.470588235,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_stercoravium,382,0.00%,1,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Candidatus_Eisenbergiella_stercorigallinarum,108,4.99E-07,0.882352941,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella_massiliensis,1072,0.00%,1,36
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella_porci,142,6.56E-07,0.941176471,6
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella_sp._OF01-20,466,0.00%,0.941176471,14
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella_tayi,1194,0.00%,1,52
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Eisenbergiella,s__unclassified_g__Eisenbergiella,10,4.62E-08,0.235294118,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Candidatus_Enterocloster_excrementigallinarum,68,3.14E-07,0.529411765,7
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Candidatus_Enterocloster_excrementipullorum,86,3.97E-07,0.764705882,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Candidatus_Enterocloster_faecavium,74,3.42E-07,0.647058824,5
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_aldenensis,660,0.00%,1,34
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_asparagiformis,214,9.88E-07,1,15
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_bolteae,4516,0.00%,1,118
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_citroniae,1658,0.00%,1,72
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_clostridioformis,3882,0.00%,1,164
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_hominis,36,1.66E-07,0.294117647,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_lavalensis,448,0.00%,1,31
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_sp.,2,9.24E-09,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster_sp._OA13,4,1.85E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Enterocloster,s__unclassified_g__Enterocloster,58,2.68E-07,0.529411765,5
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp.,670,0.00%,1,35
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._'N.t._morphotype_B',6,2.77E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._AS2M-Bin001,20,9.24E-08,0.352941176,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._AS2M-Bin002,16,7.39E-08,0.294117647,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._Nele67-Bin001,6,2.77E-08,0.117647059,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._Nele67-Bin005,24,1.11E-07,0.294117647,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._Nuni2H_MBin001,34,1.57E-07,0.411764706,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._SCG-B05WGA-EpuloA1,40,1.85E-07,0.352941176,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._SCG-B11WGA-EpuloA1,22,1.02E-07,0.352941176,2
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._SCG-C06WGA-EpuloA1,2,9.24E-09,0.058823529,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._SCG-C07WGA-EpuloA2,50,2.31E-07,0.647058824,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Epulopiscium,s__Epulopiscium_sp._SCG-D08WGA-EpuloA1,36,1.66E-07,0.235294118,1
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Extibacter,s__Extibacter_muris,298,0.00%,1,15
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Extibacter,s__Extibacter_sp._GGCC_0201,232,0.00%,0.882352941,8
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_contorta,1580,0.00%,1,82
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_faecalis,196,9.05E-07,0.823529412,14
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_fissicatena,1724,0.00%,1,30
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_orotica,180,8.31E-07,0.941176471,10
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_sp.,248,0.00%,0.882352941,9
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_sp._BF-R-105,536,0.00%,1,23
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena_sp._Marseille-Q4148,42,1.94E-07,0.235294118,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalimonas,s__Faecalimonas_umbilicata,810,0.00%,1,34
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Frisingicoccus,s__Frisingicoccus_caecimuris,70,3.23E-07,0.647058824,6
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Candidatus_Fusicatenibacter_intestinigallinarum,92,4.25E-07,0.764705882,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Candidatus_Fusicatenibacter_intestinipullorum,62,2.86E-07,0.411764706,5
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Candidatus_Fusicatenibacter_merdavium,72,3.33E-07,0.823529412,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_saccharivorans,722,0.00%,1,45
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_sp.,120,5.54E-07,0.941176471,12
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_sp._2789STDY5834925,4160,0.00%,1,3
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_sp._CLA-AA-H213,200,9.24E-07,0.764705882,7
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_sp._CLA-AA-H241,54,2.49E-07,0.411764706,4
d__Bacteria,k__unclassified_d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_sp._CLA-AA-H277,160,7.39E-07,0.941176471,8
