Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_12_neg,Uridine monophosphate (UMP),C9 H13 N2 O9 P,324.03587,2.075,323.02859,Full match,Full match,Full match,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Pyrimidine ribonucleoside monophosphates,3106848.795,8618926.692,277471788.6,3955539.97,6163777.38,18024505.17,2874140.313
Com_13_neg,D-Ribose-1-phosphate,C5 H11 O8 P,230.01906,1.639,229.01172,Full match,Full match,Full match,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Pentoses,122343781.5,225154849.3,326210230.5,235669219.2,175679559.5,128030628.9,157331511.9
Com_14_neg,"3,4,5-trihydroxycyclohex-1-ene-1-carboxylic acid",C7 H10 O5,174.05293,5.21,173.04565,Full match,Full match,No results,,,,,6805728.609,4505993.009,4231300.753,5600606.417,2761297.16,3923991.831,3847586.291
Com_15_neg,4-Oxoproline,C5 H7 N O3,129.04277,1.566,128.03552,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Proline and derivatives,75830332.68,121874780.9,389175594.1,208514174.7,112323790.6,290093604.8,101572865.7
Com_16_neg,Glutaric acid,C5 H8 O4,132.04246,4.76,131.03517,Full match,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,119677605.6,144874584.5,135643942.8,101140449.4,173994746.7,105251279.7,117619538.5
Com_17_neg,Flavin mononucleotide (FMN),C17 H21 N4 O9 P,456.10551,5.311,455.09808,Full match,Full match,Full match,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,Not available,Flavin nucleotides,605742.3647,11356244.59,23313589.22,13078874.48,12900171.89,10748865.52,10939441.47
Com_18_neg,17¦Á-Hydroxypregnenolone,C21 H32 O3,332.23526,8.708,331.228,Full match,Full match,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,"Gluco/mineralocorticoids, progestogins and derivatives",7150794.786,2703115.725,7193898.157,7190313.328,3107862.603,4828944.931,3800170.457
Com_19_neg,Xanthosine,C10 H12 N4 O6,284.07588,4.771,283.0686,Full match,Full match,Full match,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Not available,Purine nucleosides,2931466.212,1825319.113,75122198.14,2323218.015,2889285.667,1276298.547,3042724.986
Com_20_neg,Glycocholic acid,C26 H43 N O6,465.30906,6.775,464.30157,Full match,Full match,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Glycinated bile acids and derivatives,20417932.34,34245928.26,120394763.1,3737542.708,39765176.17,1612115232,5108761.067
Com_21_neg,Tetradecanedioic acid,C14 H26 O4,258.1831,6.896,257.17575,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,5186368949,7514937837,1306138549,4691015899,3172622137,3790384429,4632093465
Com_22_neg,3-Methyladipic acid,C7 H12 O4,160.0736,5.459,159.06635,Full match,Full match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,369046069,327270728.3,192731502.4,358919736.8,277500983.2,308977774.8,347109969.8
Com_23_neg,D-(-)-Quinic acid,C7 H12 O6,192.0634,1.565,191.05605,Full match,Full match,Full match,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Quinic acids and derivatives,6700831.533,5953050.538,9449867.889,12662915.85,9789040.048,4436235.926,7056774.239
Com_24_neg,Pimelic acid,C7 H12 O4,160.07365,2.463,159.06635,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,375658020.9,334606756.2,197190586.7,365032157.3,284625838.8,317137722.1,352864382.9
Com_25_neg,Arachidic acid,C20 H40 O2,312.30277,11.478,311.29535,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,56229120.74,20396718.65,32711568.24,142166696,20122612.64,51375290.15,83205958.52
Com_26_neg,Palmitic acid,C16 H32 O2,256.24028,10.403,255.23296,Full match,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,600924319.6,534723543.3,473522352.1,833117001.8,626236855.3,706546793.9,936557965.3
Com_27_neg,Elaidic acid,C18 H34 O2,282.25585,10.654,281.2485,Full match,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,147214927.7,265539304.5,1057841490,205860604.7,321091840.8,204813665.7,159309852.9
Com_28_neg,2-Isopropylmalic acid,C7 H12 O5,176.06842,1.807,175.06111,Full match,Partial match,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,5219443.736,6255959.422,13494591.18,4387534.121,7754371.657,7617034.907,4233104.652
