Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_29_neg,Bisphenol A,C15 H16 O2,228.115,5.566,227.10776,Full match,No results,Full match,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Bisphenols,167708899,244718195.3,273257433.9,277938217.3,223431781.6,212418694.7,149098250.5,154257030.1,276280794.6,69088392.55,,,,,,,
Com_30_neg,methadone-d9,C21 H18 [2]H9 N O,317.9549,1.194,316.94763,Invalid mass,No results,No results,,,,,195454415.9,266244163.1,166438279,240238129.6,272444673,476166744.5,190824297.2,190955916.8,277473255.3,266799793.9,,,,,,,
Com_31_neg,Quinic acid,C7 H12 O6,192.06332,1.493,191.05605,No results,No results,Full match,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Quinic acids and derivatives,136834270,1202504.489,5430613.438,156052.2119,1474828.632,6411019.41,198262132.2,147436322.6,297087.5524,93988032.53,,,,,,,
Com_32_neg,Hydrocinnamic acid,C9 H10 O2,150.06826,6.081,149.06107,Full match,No results,Full match,Phenylpropanoids and polyketides,Phenylpropanoic acids,Not available,Phenylpropanoic acids,118650825.6,64845362.49,136590053.4,85580863.93,85828580.44,77966863.33,67794005.5,118649394.8,67843949.21,127361117,,,,,,,
Com_33_neg,3-Hydroxybenzoic acid,C7 H6 O3,138.03191,5.481,137.02461,Full match,Not the top hit,Full match,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,83934018.95,69807495.01,85319225.23,42888424.33,71642150.31,76541212.5,37372338.21,63902067.71,41304278.17,85125770,,,,,,,
Com_34_neg,2-Hydroxy-2-methyl-3-buten-1-yl beta-D-glucopyranoside,C11 H20 O7,310.12658,4.703,309.11929,Invalid mass,No results,No results,,,,,497950.5987,42318.18593,460054.4148,49396.86965,126673.4697,217174.4687,84110522.43,283820.6054,3083564.755,615906.4054,,,,,,,
Com_35_neg,Salicylic acid,C7 H6 O3,138.03192,5.965,137.02469,Full match,Partial match,Full match,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Salicylic acids,62974976.97,5058481.834,30048626.82,3868231.831,14282472.4,19066808.62,27560301,70602075.05,5007812.713,41328392.68,,,,,,,
Com_36_neg,FAHFA (18:0/20:2),C38 H70 O4,590.52552,11.276,589.51831,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,23886703.48,45261858.36,67559040.86,23249951.05,24891774.71,27731753.69,36437724.89,48234288.9,13537586.03,4010232.6,,,,,,,
Com_37_neg,"1-(1,8-dihydroxy-3,6-dimethyl-2-naphthyl)ethan-1-one",C14 H14 O3,230.09434,5.479,229.08704,Full match,No results,No results,,,,,51011886.28,53151158.39,61392216.02,54424741.64,47755396.17,49711805.06,31978865.77,49127890.34,54738924.28,59345169.6,,,,,,,
Com_38_neg,"3,3-Dimethylglutaric acid",C7 H12 O4,160.07364,5.623,159.06642,Full match,Not the top hit,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Methyl-branched fatty acids,60234284.83,32270795.24,27625915.36,22621780.49,58365170.95,23933470.7,31078917.54,36538907.27,30527597.42,64644905.16,,,,,,,
Com_39_neg,Prostaglandin H2,C20 H32 O5,334.21468,7.381,333.20737,Invalid mass,No results,No match,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,19917903.04,45766099.86,46931166.03,43000936.74,33033375.2,30462962.75,24600124.8,25632575.24,37626381.22,30470934.16,,,,,,,
