Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2,,,,,,,,,,
Com_48_pos,Acetylcholine,C7 H15 N O2,145.11049,1.665,146.11777,No results,Full match,No results,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Acyl cholines,29036256.2,15490712.21,75041221.97,268747666.7,32041245.06,54352849.63,173767107.1,,,,,,,,,,
Com_49_pos,ERH,C17 H28 N8 O6,440.21744,7.535,441.2247,Invalid mass,No results,No results,,,,,2675096.565,2798032.23,1894874.318,2121891.084,2341396.249,2614782.88,2344702.227,,,,,,,,,,
Com_50_pos,"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",C15 H24 O3,234.16176,6.875,235.16904,Invalid mass,Invalid mass,No results,,,,,7325927.757,8249183.029,44744767.65,8063442.027,23428976.44,17616661.25,5631184.237,,,,,,,,,,
Com_51_pos,Leucylproline,C11 H20 N2 O3,228.14733,5.178,229.15471,No results,Full match,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,29466052.37,45791398.35,295674936,67728203.75,30639377.7,34700981.09,51258504.73,,,,,,,,,,
Com_52_pos,2-[2-(5-bromo-2-pyridyl)diaz-1-enyl]-5-(diethylamino)phenol,C15 H17 Br N4 O,348.06067,5.516,349.06805,Invalid mass,No results,No results,,,,,24767580.06,17479024.44,20964210.29,20590156.13,17538515.69,12435468.09,19752076.93,,,,,,,,,,
Com_53_pos,Diflorasone,C22 H28 F2 O5,410.19155,5.702,411.19876,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,807014.0131,558767.9147,1098448.701,752903.9488,2438616.634,2162799.237,740993.6657,,,,,,,,,,
Com_54_pos,"8,8-dimethyl-2H,8H-pyrano[3,2-g]chromen-2-one",C14 H12 O3,228.07858,5.264,229.08586,Full match,Partial match,No results,,,,,4152584.655,3407576.19,3046175.069,3166459.264,3341077.086,3702072.585,3545772.674,,,,,,,,,,
Com_55_pos,(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid,C15 H24 O3,252.17098,6.154,235.16736,Invalid mass,No results,No results,,,,,56881739.76,60187406.25,205303249.2,56282082.92,100441041.5,84347819.28,56512068.84,,,,,,,,,,
Com_56_pos,L-Homocystine,C8 H16 N2 O4 S2,268.05557,5.243,269.06305,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,14427326.59,9964539.154,2799440.404,12497619.07,15043181.41,17296079.08,15206432.8,,,,,,,,,,
Com_57_pos,gamma-Tocopherol,C28 H48 O2,416.36495,11.519,417.3717,No results,No results,Full match,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Tocopherols,985310.1065,736887.2622,551351.2714,677389.5666,663365.1089,744017.6587,820245.9183,,,,,,,,,,
Com_58_pos,3-(4-hydroxy-3-methoxyphenyl)propanoic acid,C10 H12 O4,178.06304,5.293,179.07014,Invalid mass,No match,No match,,,,,202888052.8,178503570.7,221702833.7,268909887.5,135853675.7,129733466.5,203309352.1,,,,,,,,,,
Com_59_pos,"(3R)-8-hydroxy-3-(4-hydroxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one",C15 H12 O4,256.07305,5.557,257.08032,Full match,Partial match,No results,,,,,138714697.2,117867767.8,89783635.64,121207296.3,23522902.57,92296905.51,142777062.6,,,,,,,,,,
Com_60_pos,Sebacic acid,C10 H18 O4,202.12013,5.647,427.22961,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,884422863.2,938166734.7,618112077.5,890775875.3,800282893.7,859047682,856455461.3,,,,,,,,,,
Com_61_pos,1-(7-methoxy-2-oxo-2H-chromen-8-yl)-3-methyl-2-oxobutyl acetate,C17 H18 O6,340.09348,5.304,341.10077,Invalid mass,No match,No results,,,,,74717922.83,61076086.8,87709928.4,79417585.01,37972025.7,51782050.1,69396830,,,,,,,,,,
