Gene,XY_Blood_007.886,XY_Blood_1.888,XY_Blood_3.885,XY_Blood_5.609,XY_Blood_7.604,XY_Blood_881,XY_Blood_999
LOC112448283,0,0,0,0,0,0,0
TMPRSS15,0,0,0,0,0,0,0
CHODL,0,0,0,0,0,0,0
C1H21orf91,131.8375193,74.53297662,43.53969412,64.59133486,54.60199528,38.95826601,72.11494134
LOC112448355,0,0,0,0,0,0,0
LOC112447286,0,0.062157954,0,0,0,0,0
BTG3,11.38834024,17.82736946,16.20016415,13.59708557,16.92842131,13.07924094,17.71761338
CXADR,0.1510559,0.152039375,0.214436368,0.226850111,0.392944999,0.072485159,0.239037828
MIR125B-2,0,0,0,0,0,0,0
MIRLET7C,0,0,0,0,0,0,0
MIR99A,0,0,0,0,0,0,0
LOC112447287,0,0,0,0,0,0,0
USP25,63.90222786,45.12440648,21.50348461,36.23759262,27.83675914,22.40432472,37.24340092
LOC107132175,4.7812293,1.842150059,0.567639887,1.526987282,0.852571649,0.476952101,1.766571071
NRIP1,57.42956487,15.09173804,7.807954664,14.20602141,10.42839189,10.54245181,15.92399818
LOC104976614,0,0,0,0,0,0,0
LOC112447289,0,0.142291903,0.111493628,0.235896011,0,0,0
SAMSN1,328.2929692,261.9582735,226.5074489,234.9797275,199.045765,393.0727097,187.4122185
LOC112447288,3.250304681,2.271508703,1.006004178,2.906198925,1.675064663,2.903555043,1.552734237
HSPA13,65.79240077,33.15972148,21.12623734,24.08351196,17.85440279,17.84783838,32.27345728
LOC518080,0.672964055,0.459773916,0,0.462781117,0.689628743,0.352283118,0.958897454
RBM11,18.46554782,7.699091941,16.21478807,20.05739661,4.737682,10.1636364,4.025713815
LIPI,0.688021566,0.079142977,0.062012929,0,0,0.125772052,0
ROBO2,0.022468499,0,0,0,0,0,0.020317251
TRNAG-UCC,0,0,0,0,0,0,0
ROBO1,0,0,0,0.016661045,0,0,0
LOC100848584,0,0,0,0,0,0,0
TRNAC-GCA_2,0,0,0,0,0,0,0
TRNAC-ACA,0,0,0,0,0,0,0
TRNAS-GGA,0,0,0,0,0,0,0
